subject,relation,object,source
"TR042","FOR_COURSE","Sales KPI Analytics","semi_structured/training_records.csv"
"TR042","DEPARTMENT","Sales","semi_structured/training_records.csv"
"TR043","FOR_COURSE","AI Model Deployment","semi_structured/training_records.csv"
"TR043","DEPARTMENT","Engineering","semi_structured/training_records.csv"
"TR044","FOR_COURSE","Corporate Compliance Training","semi_structured/training_records.csv"
"TR044","DEPARTMENT","Legal","semi_structured/training_records.csv"
"TR045","FOR_COURSE","Support SLA Management","semi_structured/training_records.csv"
"TR045","DEPARTMENT","Support","semi_structured/training_records.csv"
"TR046","FOR_COURSE","Cloud Automation with Terraform","semi_structured/training_records.csv"
"TR046","DEPARTMENT","IT","semi_structured/training_records.csv"
"TR047","FOR_COURSE","Employee Engagement Strategies","semi_structured/training_records.csv"
"TR047","DEPARTMENT","HR","semi_structured/training_records.csv"
"TR048","FOR_COURSE","Sales Coaching & Mentoring","semi_structured/training_records.csv"
"TR048","DEPARTMENT","Sales","semi_structured/training_records.csv"
"TR049","FOR_COURSE","Edge AI for IoT","semi_structured/training_records.csv"
"TR049","DEPARTMENT","Engineering","semi_structured/training_records.csv"
"TR050","FOR_COURSE","Data Science for Business","semi_structured/training_records.csv"
"TR050","DEPARTMENT","Analytics","semi_structured/training_records.csv"
"Tata Communications","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Infosys Data Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Amazon Web Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Microsoft Azure","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Google Cloud India","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"NTT Data","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"IBM Cloud Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Oracle Data Centers","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Accenture Cyber Defense","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Wipro Infrastructure Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"HCL Cloud Solutions","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Capgemini Technology Services","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Dell Technologies","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"HP Enterprise Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Cisco Secure Solutions","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Palo Alto Networks","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Fortinet Security Services","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Rackspace Technology","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"DigitalOcean","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Alibaba Cloud","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Tech Mahindra Networks","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Atos Data Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Fujitsu Cloud Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Hitachi Systems Security","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Red Hat OpenShift Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Zoho Cloud Infrastructure","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"SAP Cloud Platform","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"VMware Secure Cloud","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"BT Global Services","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Orange Business Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Equinix Data Centers","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"OVHcloud","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"TCS Cyber Security","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"LTIMindtree Cloud Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Cognizant Infrastructure Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"DXC Technology","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Siemens IT Solutions","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Ericsson Network Services","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Juniper Networks","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Netmagic Solutions","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Cloudflare Security","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Akamai Technologies","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"SoftBank Cloud Services","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Telefónica Tech","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Dimension Data","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"Infosys Cloud Edge","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Haricorp Tech","PROVIDES_SERVICE","Cloud Hosting","semi_structured/vendors.csv"
"Hexaware Infrastructure Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
"NEC Network Solutions","PROVIDES_SERVICE","Network Security","semi_structured/vendors.csv"
"Bosch IT Services","PROVIDES_SERVICE","Data Center Services","semi_structured/vendors.csv"
